iter	Logloss
0	0.6800672985
1	0.6718790753
2	0.6636809617
3	0.6563008308
4	0.6475569628
5	0.6392736406
6	0.6344865485
7	0.6293862171
8	0.6256628804
9	0.6216716518
10	0.6161831382
11	0.6126245295
12	0.6093569119
13	0.6062484197
14	0.6038164778
15	0.6017065006
16	0.5992643397
17	0.5969724692
18	0.5939536435
19	0.592212747
20	0.5894292244
21	0.5868841088
22	0.5851888061
23	0.5839104203
24	0.5830253457
25	0.5819088145
26	0.5801573084
27	0.5793939151
28	0.5786161386
29	0.5778236455
30	0.5770516204
31	0.5758627522
32	0.5751543234
33	0.5742720595
34	0.5737144985
35	0.5725145579
36	0.5715840501
37	0.5710143927
38	0.5705324432
39	0.5696299845
40	0.5692405883
41	0.5687486916
42	0.5680514692
43	0.5676906501
44	0.5673040616
45	0.5669047349
46	0.5664719529
47	0.5658523733
48	0.5654581893
49	0.5649969095
50	0.5646911917
51	0.564339176
52	0.5640019841
53	0.5634525045
54	0.563135351
55	0.5629036014
56	0.5624044167
57	0.561994117
58	0.5615631925
59	0.5611592425
60	0.5608988548
61	0.5606239564
62	0.560234497
63	0.5599870797
64	0.5597584025
65	0.5594886666
66	0.5591027498
67	0.5588689748
68	0.5585488991
69	0.5582794881
70	0.5579947071
71	0.5576816903
72	0.557393924
73	0.557170944
74	0.5568697717
75	0.5566277852
76	0.5564333238
77	0.5560742738
78	0.555871601
79	0.555585024
80	0.5553652739
81	0.5551535035
82	0.5550015857
83	0.5547911383
84	0.5545805911
85	0.554317439
86	0.5541442676
87	0.5539035877
88	0.5537102331
89	0.5534667579
90	0.5532863902
91	0.5530888084
92	0.552900164
93	0.5526812822
94	0.5524980153
95	0.5523189292
96	0.5521728044
97	0.551930705
98	0.5516720141
99	0.5514967067
100	0.551293434
101	0.5511623804
102	0.550978894
103	0.5508275245
104	0.5506482593
105	0.5504688785
106	0.5503101862
107	0.5501679962
108	0.5500544576
109	0.5498912531
110	0.5496820378
111	0.549545634
112	0.5494197549
113	0.5492566308
114	0.5490724981
115	0.5489001084
116	0.5487659791
117	0.548660512
118	0.5484493759
119	0.5483012163
120	0.5481682517
121	0.5479905899
122	0.547860281
123	0.547660554
124	0.5475441413
125	0.5474215271
126	0.5472803444
127	0.5470868098
128	0.5469532812
129	0.5468408907
