iter	Passed	Remaining
0	29	29339
1	54	27017
2	79	26359
3	105	26322
4	129	25820
5	155	25771
6	180	25661
7	205	25461
8	229	25316
9	254	25200
10	279	25097
11	307	25297
12	331	25160
13	356	25137
14	381	25062
15	406	24975
16	430	24898
17	455	24823
18	479	24754
19	503	24688
20	528	24650
21	552	24554
22	577	24523
23	604	24570
24	628	24492
25	652	24442
26	676	24375
27	701	24357
28	745	24968
29	773	25008
30	802	25091
31	831	25164
32	858	25161
33	887	25202
34	922	25442
35	953	25542
36	978	25462
37	1005	25465
38	1036	25538
39	1065	25583
40	1091	25535
41	1114	25431
42	1140	25378
43	1163	25275
44	1190	25263
45	1216	25222
46	1242	25186
47	1267	25129
48	1292	25086
49	1317	25034
50	1343	24995
51	1369	24969
52	1403	25084
53	1434	25137
54	1471	25284
55	1508	25435
56	1541	25495
57	1564	25417
58	1589	25345
59	1615	25313
60	1641	25273
61	1669	25264
62	1693	25191
63	1721	25171
64	1747	25130
65	1786	25283
66	1835	25554
67	1881	25793
68	1928	26020
69	1957	26012
70	1981	25930
71	2006	25855
72	2029	25774
73	2054	25704
74	2078	25639
75	2103	25571
76	2127	25499
77	2151	25427
78	2175	25362
79	2204	25354
80	2230	25301
81	2253	25229
82	2279	25186
83	2304	25129
84	2329	25072
85	2353	25008
86	2377	24955
87	2402	24902
88	2428	24858
89	2452	24801
90	2479	24769
91	2507	24748
92	2533	24706
93	2561	24686
94	2585	24631
95	2611	24591
96	2636	24545
97	2660	24489
98	2685	24437
99	2712	24412
100	2737	24363
101	2762	24322
102	2790	24299
103	2826	24351
104	2855	24343
105	2880	24293
106	2908	24270
107	2940	24284
108	2969	24275
109	3004	24307
110	3039	24347
111	3068	24330
112	3103	24358
113	3131	24338
114	3156	24292
115	3182	24250
116	3210	24228
117	3234	24177
118	3261	24142
119	3285	24095
120	3309	24040
121	3333	23987
122	3357	23937
123	3380	23884
124	3405	23840
125	3429	23787
126	3453	23740
127	3479	23701
128	3502	23651
129	3528	23611
130	3553	23570
131	3576	23520
132	3601	23478
133	3627	23443
134	3650	23388
135	3676	23357
136	3704	23334
137	3731	23305
138	3755	23263
139	3781	23227
140	3807	23197
141	3833	23164
142	3857	23119
143	3881	23075
144	3906	23034
145	3931	22993
146	3955	22951
147	3979	22909
148	4004	22870
149	4028	22829
150	4052	22787
151	4078	22752
152	4102	22712
153	4127	22671
154	4151	22631
155	4175	22588
156	4198	22545
157	4224	22510
158	4246	22463
159	4271	22427
160	4296	22391
161	4320	22350
162	4344	22310
163	4369	22272
164	4394	22238
165	4418	22197
166	4442	22159
167	4466	22117
168	4491	22086
169	4516	22050
170	4542	22023
171	4566	21984
172	4589	21941
173	4613	21901
174	4638	21869
175	4663	21833
176	4688	21801
177	4716	21781
178	4740	21742
179	4764	21703
180	4787	21664
181	4821	21668
182	4845	21632
183	4869	21595
184	4894	21561
185	4919	21530
186	4944	21494
187	4989	21549
188	5033	21600
189	5072	21624
190	5111	21649
191	5147	21664
192	5196	21727
193	5211	21652
194	5241	21637
195	5268	21610
196	5293	21576
197	5317	21539
198	5342	21503
199	5367	21470
200	5392	21437
201	5417	21400
202	5442	21368
203	5468	21336
204	5492	21299
205	5515	21260
206	5540	21223
207	5566	21194
208	5590	21159
209	5615	21125
210	5642	21100
211	5666	21061
212	5698	21054
213	5724	21025
214	5747	20984
215	5772	20953
216	5799	20926
217	5825	20896
218	5850	20863
219	5875	20829
220	5897	20789
221	5923	20757
222	5947	20724
223	5972	20689
224	5998	20660
225	6023	20630
226	6048	20597
227	6075	20570
228	6101	20541
229	6125	20507
230	6148	20469
231	6173	20435
232	6198	20402
233	6224	20376
234	6250	20348
235	6274	20312
236	6298	20278
237	6322	20244
238	6345	20205
239	6370	20172
240	6394	20140
241	6420	20110
242	6444	20076
243	6467	20039
244	6493	20010
245	6518	19979
246	6543	19948
247	6568	19918
248	6593	19886
249	6618	19855
250	6645	19830
251	6670	19799
252	6699	19780
253	6722	19743
254	6747	19712
255	6771	19680
256	6799	19657
257	6827	19636
258	6852	19605
259	6877	19575
260	6901	19541
261	6924	19506
262	6948	19470
263	6970	19433
264	6996	19405
265	7018	19367
266	7045	19342
267	7069	19308
268	7092	19273
269	7115	19238
270	7141	19211
271	7170	19192
272	7203	19183
273	7237	19176
274	7266	19156
275	7289	19121
276	7313	19090
277	7337	19057
278	7362	19025
279	7384	18989
280	7409	18959
281	7432	18924
282	7456	18891
283	7479	18856
284	7503	18825
285	7526	18789
286	7549	18755
287	7573	18722
288	7596	18688
289	7617	18650
290	7640	18616
291	7663	18580
292	7695	18568
293	7719	18536
294	7742	18504
295	7768	18475
296	7798	18458
297	7820	18423
298	7845	18394
299	7868	18359
300	7893	18330
301	7917	18298
302	7939	18263
303	7964	18234
304	7989	18204
305	8012	18172
306	8038	18145
307	8063	18116
308	8085	18081
309	8110	18052
310	8134	18022
311	8160	17994
312	8183	17962
313	8207	17930
314	8241	17922
315	8288	17940
316	8331	17950
317	8366	17942
318	8409	17953
319	8436	17928
320	8460	17896
321	8484	17865
322	8509	17835
323	8534	17805
324	8560	17780
325	8590	17761
326	8615	17732
327	8642	17707
328	8671	17685
329	8699	17662
330	8728	17641
331	8751	17608
332	8780	17588
333	8804	17555
334	8836	17540
335	8871	17532
336	8898	17505
337	8922	17476
338	8948	17448
339	8973	17420
340	8998	17390
341	9022	17359
342	9046	17328
343	9070	17297
344	9096	17269
345	9122	17243
346	9146	17213
347	9174	17189
348	9201	17164
349	9231	17145
350	9269	17139
351	9305	17130
352	9333	17107
353	9363	17087
354	9391	17062
355	9416	17034
356	9442	17007
357	9467	16978
358	9496	16955
359	9524	16932
360	9554	16911
361	9579	16884
362	9603	16851
363	9627	16821
364	9653	16795
365	9681	16770
366	9708	16744
367	9734	16717
368	9759	16689
369	9785	16662
370	9810	16633
371	9835	16604
372	9860	16574
373	9883	16542
374	9907	16511
375	9929	16478
376	9953	16448
377	9977	16417
378	10002	16388
379	10025	16356
380	10049	16327
381	10071	16294
382	10098	16268
383	10122	16237
384	10145	16206
385	10168	16174
386	10192	16145
387	10218	16117
388	10243	16090
389	10267	16059
390	10290	16027
391	10313	15996
392	10338	15967
393	10361	15937
394	10385	15906
395	10407	15874
396	10432	15845
397	10457	15817
398	10480	15786
399	10504	15756
400	10528	15726
401	10551	15696
402	10574	15665
403	10599	15636
404	10623	15606
405	10652	15585
406	10677	15557
407	10703	15529
408	10727	15500
409	10756	15479
410	10784	15454
411	10815	15435
412	10845	15415
413	10870	15387
414	10897	15361
415	10920	15331
416	10945	15302
417	10969	15273
418	10994	15245
419	11017	15214
420	11041	15185
421	11067	15158
422	11090	15128
423	11113	15097
424	11137	15068
425	11161	15039
426	11185	15010
427	11212	14985
428	11235	14955
429	11263	14930
430	11289	14904
431	11320	14884
432	11354	14868
433	11388	14852
434	11418	14830
435	11464	14829
436	11511	14830
437	11538	14804
438	11570	14786
439	11616	14785
440	11663	14784
441	11694	14763
442	11722	14738
443	11749	14713
444	11777	14689
445	11803	14661
446	11828	14633
447	11852	14603
448	11875	14573
449	11898	14542
450	11923	14514
451	11945	14482
452	11970	14454
453	11994	14425
454	12018	14396
455	12041	14365
456	12066	14337
457	12092	14310
458	12118	14283
459	12142	14253
460	12166	14225
461	12191	14196
462	12215	14168
463	12239	14138
464	12263	14109
465	12289	14082
466	12314	14055
467	12337	14025
468	12361	13996
469	12387	13968
470	12414	13943
471	12438	13914
472	12463	13886
473	12487	13857
474	12511	13828
475	12534	13798
476	12557	13768
477	12581	13739
478	12604	13710
479	12632	13685
480	12658	13658
481	12683	13630
482	12708	13603
483	12732	13574
484	12759	13548
485	12784	13521
486	12809	13493
487	12834	13465
488	12862	13440
489	12886	13412
490	12917	13391
491	12941	13362
492	12965	13333
493	12990	13305
494	13014	13277
495	13037	13247
496	13060	13218
497	13084	13189
498	13109	13161
499	13132	13132
500	13155	13102
501	13180	13075
502	13204	13046
503	13229	13019
504	13253	12990
505	13282	12967
506	13308	12940
507	13332	12912
508	13356	12883
509	13379	12854
510	13405	12828
511	13443	12813
512	13482	12799
513	13507	12771
514	13530	12742
515	13555	12715
516	13579	12686
517	13604	12658
518	13631	12633
519	13656	12605
520	13680	12577
521	13703	12548
522	13733	12525
523	13760	12499
524	13784	12472
525	13809	12444
526	13832	12415
527	13857	12387
528	13881	12359
529	13905	12331
530	13929	12302
531	13953	12275
532	13977	12246
533	14004	12221
534	14028	12193
535	14052	12165
536	14076	12137
537	14100	12108
538	14124	12080
539	14147	12051
540	14172	12023
541	14196	11996
542	14222	11969
543	14248	11943
544	14271	11915
545	14296	11887
546	14321	11860
547	14343	11831
548	14367	11802
549	14391	11774
550	14415	11746
551	14439	11718
552	14462	11690
553	14487	11663
554	14510	11634
555	14535	11607
556	14559	11579
557	14583	11551
558	14605	11522
559	14633	11497
560	14661	11473
561	14708	11462
562	14758	11455
563	14784	11429
564	14812	11404
565	14848	11385
566	14894	11374
567	14918	11346
568	14942	11318
569	14964	11289
570	14989	11262
571	15014	11234
